10.1.1.132.8968 WOS:000238427400003
10.1.1.17.7376 WOS:000079183400023
10.1.1.101.931 WOS:000171700300016
10.1.1.141.3174 WOS:000258262000040
10.1.1.56.4734 WOS:A1994BB29Q00094
10.1.1.494.4617 WOS:A1994BB29Q00094
10.1.1.109.1497 WOS:000234527100001
10.1.1.1026.1755 WOS:000331966900010
10.1.1.14.7176 WOS:A1992JU21000005
10.1.1.18.3267 WOS:000180067900031
10.1.1.469.8369 WOS:000226133600091
10.1.1.40.9643 WOS:000082261800007
10.1.1.53.9318 WOS:000088752400001
10.1.1.142.7082 WOS:000241598400065
10.1.1.88.856 WOS:000235773400013
10.1.1.107.7851 WOS:000235248300010
10.1.1.8.2365 WOS:000175493100002
10.1.1.36.4050 WOS:000081364300011
10.1.1.362.5535 WOS:000235515200002
10.1.1.303.3016 WOS:000307434400016
10.1.1.156.2440 WOS:000083963600004
10.1.1.252.7298 WOS:000173099200086
10.1.1.29.1411 WOS:000181441900057
10.1.1.758.3952 WOS:000338387700005
10.1.1.380.7816 WOS:000290145000002
10.1.1.102.9976 WOS:000239223000005
10.1.1.721.3206 WOS:000279093100012
10.1.1.80.497 WOS:000226909800004
10.1.1.69.3925 WOS:000226909800004
10.1.1.680.2268 WOS:000354532200001
10.1.1.752.7457 WOS:000316407900031
10.1.1.684.2026 WOS:000348091300009
10.1.1.90.102 WOS:000300046900007
10.1.1.5.8374 WOS:000187959000087
10.1.1.747.5935 WOS:000363243400005
10.1.1.589.1439 WOS:000363243400005
10.1.1.80.3901 WOS:000165403100003
10.1.1.37.1476 WOS:000165403100003
10.1.1.124.1333 WOS:000241114600012
10.1.1.90.2930 WOS:000182417700004
10.1.1.390.2789 WOS:000265706000004
10.1.1.649.6347 WOS:000356395000011
10.1.1.8.6404 WOS:A1996UR91600006
10.1.1.253.962 WOS:000289996100030
10.1.1.58.1868 WOS:000189502400019
10.1.1.37.2497 WOS:000165144300002
10.1.1.129.1206 WOS:000252844100011
10.1.1.85.1489 WOS:000184896900002
10.1.1.128.914 WOS:000184896900002
10.1.1.379.8216 WOS:000309297000005
10.1.1.70.9969 WOS:000230023800050
10.1.1.8.6405 WOS:000176046800005
10.1.1.651.3551 WOS:000207987100006
10.1.1.205.2873 WOS:000286710900005
10.1.1.565.800 WOS:000321840100052
10.1.1.154.8427 WOS:000222285500002
10.1.1.194.4222 WOS:000173461400007
10.1.1.14.3196 WOS:000185947800054;WOS:000240364100005
10.1.1.36.9910 WOS:000072670100003
10.1.1.100.3637 WOS:000072670100003
10.1.1.39.4389 WOS:A1995BE66E00018
10.1.1.55.1826 WOS:A1997XA99000012
10.1.1.19.312 WOS:000179019100024
10.1.1.884.6148 WOS:000269865800003
10.1.1.501.5125 WOS:000269865800003
10.1.1.187.9008 WOS:000303068300012
10.1.1.49.8575 WOS:A1993MM22000004
10.1.1.98.6499 WOS:000236480300031
10.1.1.750.3970 WOS:000363256500039
10.1.1.220.3357 WOS:000242172700002
10.1.1.24.4282 WOS:000172465200003
10.1.1.74.2715 WOS:000188862800017
10.1.1.132.2294 WOS:000239570300072
10.1.1.117.6245 WOS:000222291600005
10.1.1.305.1238 WOS:000284943000028
10.1.1.1033.8338 WOS:000236053800006
10.1.1.378.2099 WOS:000236053800006
10.1.1.47.4143 WOS:A1993LX39400006
10.1.1.224.6150 WOS:000232775400019
10.1.1.61.9944 WOS:000245977600002
10.1.1.304.7691 WOS:000245977600002
10.1.1.17.3268 WOS:000088102600002
10.1.1.95.8349 WOS:000236997600013
10.1.1.81.196 WOS:000232222700007
10.1.1.113.8499 WOS:000232274000016
10.1.1.705.3780 WOS:000303082300010
10.1.1.83.5959 WOS:000247965600015
10.1.1.469.9859 WOS:000184089500013
10.1.1.367.2571 WOS:000321212000006
10.1.1.233.8332 WOS:000181849600005
10.1.1.160.8319 WOS:000268070200002
